STUDY #,STUDY,FILE,PHENO,study_1,study2,ancestry,timecode,exclude,key,done
43,WACH,43_WACH_C_PCL-5_BCDE.txt,43_WACH_C_PCL-5_pcl5_d_7q.pheno,meg2,wach,eur,1:00:00,0,meg2_wach_pcl5_d_5q_eur,YES
47,GTPC,47_GTPC_C_PSS4_BCD.txt,47_GTPC_C_PSS4_pss4_b_5q.pheno,gtpc,gtpc,eur,1:30:00,0,gtpc_gtpc_caps_b_5q_eur,YES
47,GTPC,47_GTPC_C_PSS4_BCD.txt,47_GTPC_C_PSS4_pss4_d_5q.pheno,gtpc,gtpc,eur,1:30:00,0,gtpc_gtpc_caps_d_5q_eur,YES
48,BETR,48_BETR_C_CAPS4_BCD.txt,48_BETR_C_CAPS4_caps4_b_5q.pheno,betr,betr,eur,1:00:00,0,betr_betr_caps4_b_5q_eur,YES
48,BETR,48_BETR_C_CAPS4_BCD.txt,48_BETR_C_CAPS4_caps4_d_5q.pheno,betr,betr,eur,1:00:00,0,betr_betr_caps4_d_5q_eur,YES
49,SEEP,49_SEEP_L_CAPS4_BCD.txt,49_SEEP_L_CAPS4_caps4_b_5q.pheno,psy4,psy4,eur,1:00:00,0,psy4_psy4_caps4_b_5q_eur,YES
49,SEEP,49_SEEP_L_CAPS4_BCD.txt,49_SEEP_L_CAPS4_caps4_d_5q.pheno,psy4,psy4,eur,1:00:00,0,psy4_psy4_caps4_d_5q_eur,YES
50,COM1,,,comc,comc,eur,1:00:00,1,comc_comc_eur,NO
52,FTCB,,,ftca,ftcb,eur,1:00:00,1,ftca_ftcb_eur,NO
54,GRAC,,,grac,grac,eur,1:00:00,1,grac_grac_eur,NO
55,GMRF,55_GALL_C_CAPS-5_BCDE.txt,55_GALL_C_CAPS-5_caps_b_5q.pheno,gali,gali,eur,1:00:00,0,gali_gali_caps_b_5q_eur,YES
55,GMRF,55_GALL_C_CAPS-5_BCDE.txt,55_GALL_C_CAPS-5_caps_d_7q.pheno,gali,gali,eur,1:00:00,0,gali_gali_caps_d_5q_eur,YES
57,BAKE,57_BAKE_C_CAPS4_BCD.txt,57_BAKE_C_CAPS4_caps4_b_5q.pheno,wrby,wrby,eur,1:00:00,0,wrby_bake_caps4_b_5q_eur,YES
57,BAKE,57_BAKE_C_CAPS4_BCD.txt,57_BAKE_C_CAPS4_caps4_d_5q.pheno,wrby,wrby,eur,1:00:00,0,wrby_bake_caps4_d_5q_eur,YES
58,VRIS,58_VRIS_C_CAPS-5_BCDE.txt,58_VRIS_C_CAPS-5_caps_b_5q.pheno,wrby,wrby,eur,1:00:00,0,wrby_vris_caps_b_5q_eur,YES
58,VRIS,58_VRIS_C_CAPS-5_BCDE.txt,58_VRIS_C_CAPS-5_caps_d_7q.pheno,wrby,wrby,eur,1:00:00,0,wrby_vris_caps_d_5q_eur,YES
64-76,PSY5,,,psy5,bear,eur,1:00:00,1,psy5_psy5_eur,NO
64,BRLS,64_BRLS_C_CAPS-5_BCDE.txt,64_BRLS_C_CAPS-5_caps_b_5q.pheno,psy5,bear,eur,1:00:00,0,psy5_bear_caps_b_5q_eur,YES
64,BRLS,64_BRLS_C_CAPS-5_BCDE.txt,64_BRLS_C_CAPS-5_caps_d_7q.pheno,psy5,bear,eur,1:00:00,0,psy5_bear_caps_d_5q_eur,YES
69,DSAS,69_DSAS_C_PSS4_BCD.txt,69_DSAS_C_PSS4_pss4_b_5q.pheno,psy5,psy5,eur,1:00:00,0,psy5_dsas_pss4_b_5q_eur,YES
69,DSAS,69_DSAS_C_PSS4_BCD.txt,69_DSAS_C_PSS4_pss4_d_5q.pheno,psy5,psy5,eur,1:00:00,0,psy5_dsas_pss4_d_5q_eur,YES
70,RCSS,70_RCSS_C_BL_PCL-5_BCDE.txt,70_RCSS_C_BL_PCL-5_pcl5_b_5q.pheno,psy5,rcss,eur,1:00:00,0,psy5_rcss_pcl5_b_5q_eur,YES
70,RCSS,70_RCSS_C_BL_PCL-5_BCDE.txt,70_RCSS_C_BL_PCL-5_pcl5_d_7q.pheno,psy5,rcss,eur,1:00:00,0,psy5_rcss_pcl5_d_5q_eur,YES
71,DELB,71_DELB_C_PCL-5_BCDE.txt,71_DELB_C_PCL-5_pcl5_b_5q.pheno,psy5,psy5,eur,1:00:00,0,psy5_delb_pcl5_b_5q_eur,YES
71,DELB,71_DELB_C_PCL-5_BCDE.txt,71_DELB_C_PCL-5_pcl5_d_7q.pheno,psy5,psy5,eur,1:00:00,0,psy5_delb_pcl5_d_5q_eur,YES
73,AURO,73_AURO_C_PCL-5_BCDE.txt,73_AURO_C_PCL-5_pcl5_b_5q.pheno,auro,auro,eur,1:00:00,0,auro_auro_pcl5_b_5q_eur,YES
73,AURO,73_AURO_C_PCL-5_BCDE.txt,73_AURO_C_PCL-5_pcl5_d_7q.pheno,auro,auro,eur,1:00:00,0,auro_auro_pcl5_d_5q_eur,YES
76,EHVP,76_EHVP_C_CAPS-5_BCDE.txt,76_EHVP_C_CAPS-5_caps_b_5q.pheno,psy5,psy5,eur,1:00:00,0,psy5_ehvp_caps_b_5q_eur,YES
76,EHVP,76_EHVP_C_CAPS-5_BCDE.txt,76_EHVP_C_CAPS-5_caps_d_7q.pheno,psy5,psy5,eur,1:00:00,0,psy5_ehvp_caps_d_5q_eur,YES
87,ONGB,87_ONGB_L_MAX_PCL4_BCD.txt,87_ONGB_L_MAX_PCL4_pcl4_b_5q.pheno,ongb,ongb,eur,1:00:00,0,ongb_ongb_pcl4_b_5q_eur,YES
87,ONGB,87_ONGB_L_MAX_PCL4_BCD.txt,87_ONGB_L_MAX_PCL4_pcl4_d_5q.pheno,ongb,ongb,eur,1:00:00,0,ongb_ongb_pcl4_d_5q_eur,YES
